indic_ur,city,year,enterprises,country
EC2021V,BE002C,1991,31483,BE
EC2021V,BE003C,1991,14514,BE
EC2021V,BE004C,1991,11383,BE
EC2021V,BE005C,1991,12332,BE
EC2021V,BE006C,1991,7583,BE
EC2021V,CY,1991,31753,CY
EC2021V,CY001C,1991,9444,CY
EC2021V,DE001C,1991,85100,DE
EC2021V,DE002C,1991,49900,DE
EC2021V,DE003C,1991,43200,DE
EC2021V,DE004C,1991,27700,DE
EC2021V,DE005C,1991,22600,DE
EC2021V,DE006C,1991,14400,DE
EC2021V,DE008C,1991,14700,DE
EC2021V,DE009C,1991,12300,DE
EC2021V,DE010C,1991,12600,DE
EC2021V,DE011C,1991,21900,DE
EC2021V,DE012C,1991,14400,DE
EC2021V,DE013C,1991,13000,DE
EC2021V,DE014C,1991,14800,DE
EC2021V,DE015C,1991,7900,DE
EC2021V,DE016C,1991,8400,DE
EC2021V,DE017C,1991,5700,DE
EC2021V,DE018C,1991,6300,DE
EC2021V,DE019C,1991,8100,DE
EC2021V,DE020C,1991,4200,DE
EC2021V,DE021C,1991,4200,DE
EC2021V,DE022C,1991,2300,DE
EC2021V,DE023C,1991,4300,DE
EC2021V,DE024C,1991,3200,DE
EC2021V,DE025C,1991,6100,DE
EC2021V,DE026C,1991,4500,DE
EC2021V,DE027C,1991,1900,DE
EC2021V,DE028C,1991,1700,DE
EC2021V,DE029C,1991,3100,DE
EC2021V,DE030C,1991,6000,DE
EC2021V,DE031C,1991,7300,DE
EC2021V,DE032C,1991,9800,DE
EC2021V,DE033C,1991,8300,DE
EC2021V,DE034C,1991,7200,DE
EC2021V,DE035C,1991,5100,DE
EC2021V,DE124C,1991,9400,DE
EC2021V,FI001C,1991,28327,FI
EC2021V,FI002C,1991,9043,FI
EC2021V,FI003C,1991,7711,FI
EC2021V,FI004C,1991,4408,FI
EC2021V,HU001C,1991,178448,HU
EC2021V,IT001C,1991,111463,IT
EC2021V,IT004C,1991,56389,IT
EC2021V,IT005C,1991,24030,IT
EC2021V,IT006C,1991,35534,IT
EC2021V,IT007C,1991,30020,IT
EC2021V,IT008C,1991,15558,IT
EC2021V,IT009C,1991,32570,IT
EC2021V,IT010C,1991,15112,IT
EC2021V,IT011C,1991,13594,IT
EC2021V,IT012C,1991,14446,IT
EC2021V,IT013C,1991,4282,IT
EC2021V,IT014C,1991,5853,IT
EC2021V,IT015C,1991,12135,IT
EC2021V,IT016C,1991,9093,IT
EC2021V,IT017C,1991,5630,IT
EC2021V,IT018C,1991,7817,IT
EC2021V,IT019C,1991,2876,IT
EC2021V,IT020C,1991,2926,IT
EC2021V,IT021C,1991,7408,IT
EC2021V,IT022C,1991,3253,IT
EC2021V,IT023C,1991,3941,IT
EC2021V,IT024C,1991,5909,IT
EC2021V,IT025C,1991,5781,IT
EC2021V,IT026C,1991,11324,IT
EC2021V,LT,1991,46949,LT
EC2021V,LT001C,1991,11893,LT
EC2021V,LT002C,1991,7134,LT
EC2021V,LT003C,1991,2381,LT
EC2021V,LU001C,1991,197500,LU
EC2021V,MT001C,1991,11405,MT
EC2021V,PL001C,1991,41170,PL
EC2021V,PL003C,1991,54840,PL
EC2021V,PL004C,1991,36022,PL
EC2021V,PL005C,1991,15987,PL
EC2021V,PL007C,1991,10152,PL
EC2021V,PL009C,1991,7292,PL
EC2021V,PL010C,1991,19134,PL
EC2021V,PL012C,1991,3078,PL
EC2021V,PL014C,1991,3442,PL
EC2021V,PL015C,1991,2890,PL
EC2021V,PL016C,1991,1397,PL
EC2021V,PL019C,1991,2139,PL
EC2021V,PL022C,1991,2248,PL
EC2021V,PL023C,1991,1072,PL
EC2021V,PT003C,1991,9344,PT
EC2021V,PT004C,1991,6130,PT
EC2021V,PT005C,1991,10832,PT
EC2021V,PT006C,1991,8890,PT
EC2021V,PT007C,1991,3758,PT
EC2021V,PT008C,1991,5999,PT
EC2021V,RO001C,1991,22742,RO
EC2021V,RO002C,1991,17732,RO
EC2021V,RO003C,1991,13004,RO
EC2021V,RO004C,1991,5880,RO
EC2021V,RO005C,1991,3115,RO
EC2021V,RO006C,1991,11556,RO
EC2021V,RO007C,1991,4318,RO
EC2021V,RO008C,1991,26012,RO
EC2021V,RO009C,1991,12164,RO
EC2021V,RO010C,1991,4930,RO
EC2021V,RO011C,1991,7747,RO
EC2021V,RO012C,1991,13322,RO
EC2021V,RO013C,1991,4761,RO
EC2021V,RO014C,1991,10365,RO
EC2021V,SE002C,1991,25926,SE
EC2021V,SE003C,1991,13250,SE
EC2021V,SE004C,1991,5576,SE
EC2021V,SE005C,1991,4436,SE
EC2021V,SI,1991,90277,SI
EC2021V,SI001C,1991,7371,SI
EC2021V,SI002C,1991,1640,SI
EC2021V,SK,1991,23985,SK
EC2021V,SK001C,1991,4010,SK
EC2021V,SK002C,1991,794,SK
EC2021V,UK002C,1991,22640,UK
EC2021V,UK003C,1991,17750,UK
EC2021V,UK004C,1991,12275,UK
EC2021V,UK005C,1991,11405,UK
EC2021V,UK006C,1991,8350,UK
EC2021V,UK007C,1991,9820,UK
EC2021V,UK008C,1991,11120,UK
EC2021V,UK009C,1991,6970,UK
EC2021V,UK010C,1991,10730,UK
EC2021V,UK011C,1991,10485,UK
EC2021V,UK013C,1991,5230,UK
EC2021V,UK014C,1991,7630,UK
EC2021V,UK015C,1991,5380,UK
EC2021V,UK016C,1991,3015,UK
EC2021V,UK017C,1991,2590,UK
EC2021V,UK018C,1991,1770,UK
EC2021V,UK020C,1991,1540,UK
EC2021V,UK021C,1991,2995,UK
EC2021V,UK022C,1991,3720,UK
EC2021V,UK023C,1991,2175,UK
EC2021V,AT,1992,0,AT
EC2021V,AT001C,1992,0,AT
EC2021V,AT002C,1992,0,AT
EC2021V,AT003C,1992,0,AT
EC2021V,AT004C,1992,0,AT
EC2021V,AT005C,1992,0,AT
EC2021V,BE,1992,0,BE
EC2021V,BE001C,1992,0,BE
EC2021V,BE002C,1992,0,BE
EC2021V,BE003C,1992,0,BE
EC2021V,BE004C,1992,0,BE
EC2021V,BE005C,1992,0,BE
EC2021V,BE006C,1992,0,BE
EC2021V,BE007C,1992,0,BE
EC2021V,BE008C,1992,0,BE
EC2021V,BE009C,1992,0,BE
EC2021V,BE010C,1992,0,BE
EC2021V,BE011C,1992,0,BE
EC2021V,BG,1992,0,BG
EC2021V,BG001C,1992,0,BG
EC2021V,BG002C,1992,0,BG
EC2021V,BG003C,1992,0,BG
EC2021V,BG004C,1992,0,BG
EC2021V,BG005C,1992,0,BG
EC2021V,BG006C,1992,0,BG
EC2021V,BG007C,1992,0,BG
EC2021V,BG008C,1992,0,BG
EC2021V,BG009C,1992,0,BG
EC2021V,BG010C,1992,0,BG
EC2021V,BG011C,1992,0,BG
EC2021V,BG012C,1992,0,BG
EC2021V,BG013C,1992,0,BG
EC2021V,BG014C,1992,0,BG
EC2021V,BG015C,1992,0,BG
EC2021V,BG016C,1992,0,BG
EC2021V,BG017C,1992,0,BG
EC2021V,BG018C,1992,0,BG
EC2021V,CH,1992,0,CH
EC2021V,CH001C,1992,0,CH
EC2021V,CH002C,1992,0,CH
EC2021V,CH003C,1992,0,CH
EC2021V,CH004C,1992,0,CH
EC2021V,CH005C,1992,0,CH
EC2021V,CH006C,1992,0,CH
EC2021V,CH007C,1992,0,CH
EC2021V,CH008C,1992,0,CH
EC2021V,CH009C,1992,0,CH
EC2021V,CY,1992,0,CY
EC2021V,CY001C,1992,0,CY
EC2021V,CZ,1992,0,CZ
EC2021V,CZ001C,1992,0,CZ
EC2021V,CZ002C,1992,0,CZ
EC2021V,CZ003C,1992,0,CZ
EC2021V,CZ004C,1992,0,CZ
EC2021V,CZ005C,1992,0,CZ
EC2021V,CZ006C,1992,0,CZ
EC2021V,CZ007C,1992,0,CZ
EC2021V,CZ008C,1992,0,CZ
EC2021V,CZ009C,1992,0,CZ
EC2021V,CZ010C,1992,0,CZ
EC2021V,CZ011C,1992,0,CZ
EC2021V,CZ012C,1992,0,CZ
EC2021V,CZ013C,1992,0,CZ
EC2021V,CZ014C,1992,0,CZ
EC2021V,CZ015C,1992,0,CZ
EC2021V,CZ016C,1992,0,CZ
EC2021V,CZ017C,1992,0,CZ
